text,rating,publisher,date,url
"As urnas eletrônicas foram fraudadas em 2022",Falso,Aos Fatos,2024-01-15,https://aosfatos.org
"Lula foi condenado pela Lava Jato",Verdadeiro,Lupa,2024-01-16,https://lupa.uol.com.br
"Bolsonaro venceu as eleições de 2022",Falso,Aos Fatos,2024-01-17,https://aosfatos.org
"O voto impresso é mais seguro que a urna eletrônica",Enganoso,Estadão Verifica,2024-01-18,https://estadaoverifica.com
"Não houve provas de fraude nas eleições",Verdadeiro,Lupa,2024-01-19,https://lupa.uol.com.br
"O PT fraudou todas as eleições que venceu",Falso,Aos Fatos,2024-01-20,https://aosfatos.org
"A urna eletrônica é auditável e segura",Verdadeiro,TSE,2024-01-21,https://tse.jus.br
"As pesquisas eleitorais sempre erram",Enganoso,Lupa,2024-01-22,https://lupa.uol.com.br
"O TSE é um órgão confiável",Verdadeiro,Aos Fatos,2024-01-23,https://aosfatos.org
"Voto impresso acabaria com todas as fraudes",Enganoso,Estadão Verifica,2024-01-24,https://estadaoverifica.com
"Lula é inocente em todos os processos",Enganoso,Aos Fatos,2024-01-25,https://aosfatos.org
"O sistema eleitoral brasileiro é fraudulento",Falso,Lupa,2024-01-26,https://lupa.uol.com.br
"O Brasil tem 27 unidades federativas",Verdadeiro,Governo Federal,2024-01-27,https://gov.br
"Campanhas políticas são financiadas por empresas privadas",Verdadeiro,TSE,2024-01-28,https://tse.jus.br
"O horário eleitoral gratuito é obrigatório",Verdadeiro,TSE,2024-01-29,https://tse.jus.br